"Created At","Aangemaakt op"
"Last Synced","Laatst gesynchroniseerd"
"Next Sync","Volgende synchronisatie"
"Details","Details"
"Sort by date","Sorteer op datum"
"Posted on","Geschreven op"
"reviews placed on","reviews geschreven op"
"Excellent","Uitstekend"
"Very good","Zeer goed"
"Average","Gemiddeld"
"Poor","Matig"
"Terrible","Slecht"
"sources", "bronnen"
"source", "bron"
